year,ticker,comname,fieldid,fieldname,value,valuescore
2020,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.8982300885
2020,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,50,
2020,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2030,
2021,MSFT,MICROSOFT CORPORATION,1,ESGScore,A+,0.9282307414
2021,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,292106,
2021,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.8509803922
2021,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,50,
2021,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2030,
2022,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8905417219
2022,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,514156,
2022,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.7797281993
2022,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,100,
2022,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2030,
2023,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8757698266
2023,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,605354,
2023,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.7474804031
2023,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,100,
2023,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2025,
2024,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8717854875
2024,MSFT,MICROSOFT CORPORATION,92,CarbonOffsetsCredits,595922,
2024,MSFT,MICROSOFT CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.7032474804
2024,MSFT,MICROSOFT CORPORATION,99,EmissionReductionTargetPercentage,100,
2024,MSFT,MICROSOFT CORPORATION,100,EmissionReductionTargetYear,2025,
2025,MSFT,MICROSOFT CORPORATION,1,ESGScore,A,0.8799522789
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7759271833
2018,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6980392157
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7791211467
2019,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6431226766
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7656466891
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.6043956044
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,99,EmissionReductionTargetPercentage,2.33,
2020,OXY,OCCIDENTAL PETROLEUM CORPORATION,100,EmissionReductionTargetYear,2025,
2021,OXY,OCCIDENTAL PETROLEUM CORPORATION,1,ESGScore,A-,0.7653588906
2021,OXY,OCCIDENTAL PETROLEUM CORPORATION,94,ClimateChangeCommercialRisksOpportunities,true,0.5726950355
2021,OXY,OCCIDENTAL PETROLEUM CORPORATION,99,EmissionReductionTargetPercentage,16,
2021,OXY,OCCIDENTAL PETROLEUM CORPORATION,100,EmissionReductionTargetYear,2024,
